Time,Cell,F,bite,bitepoint,lick,lickpoint,licking
30.67553724658869,C2,11.55901,0,0,0,0,0.0
30.77545756335283,C2,15.54219,0,0,0,0,0.0
30.87537788011696,C2,15.45464,0,0,0,0,0.0
30.97529819688109,C2,14.94369,0,0,0,0,0.0
31.07521851364523,C2,14.86021,0,0,0,0,0.0
31.17513883040936,C2,11.31936,0,0,0,0,0.0
31.27505914717349,C2,8.185732,0,0,0,0,0.0
31.37497946393762,C2,10.71818,0,0,0,0,0.0
31.47489978070175,C2,10.45009,0,0,0,0,0.0
31.57482009746589,C2,10.11198,0,0,0,0,0.0
31.67474041423002,C2,7.908006,0,0,0,0,0.0
31.77466073099415,C2,8.532907,0,0,0,0,0.0
31.87458104775828,C2,9.619078,0,0,0,0,0.0
31.97450136452242,C2,9.297628,0,0,0,0,0.0
32.07442168128655,C2,7.200758,0,0,0,0,0.0
32.17434199805069,C2,6.955052,0,0,0,0,0.0
32.27426231481481,C2,8.276717,0,0,0,0,0.0
32.37418263157895,C2,6.137159,0,0,0,0,0.0
32.47410294834308,C2,4.444485,0,0,0,0,0.0
32.57402326510721,C2,5.000538,0,0,0,0,0.0
32.67394358187134,C2,6.849308,0,0,0,0,0.0
32.77386389863548,C2,2.97504,0,0,0,0,0.0
32.87378421539961,C2,0.6112559,0,0,0,0,0.0
32.97370453216374,C2,0.435973,0,0,0,0,0.0
33.07362484892788,C2,1.696658,0,0,0,0,0.0
33.173545165692,C2,0.06339361,0,0,0,0,0.0
33.27346548245614,C2,0.4119283,0,0,0,0,0.0
33.37338579922027,C2,1.442904,0,0,0,0,0.0
33.47330611598441,C2,1.514501,0,0,0,1,1.0
33.57322643274854,C2,-0.4226817,0,0,0,0,1.0
33.67314674951267,C2,2.420934,0,0,0,0,0.0
33.7730670662768,C2,4.038145,0,0,0,0,0.0
33.87298738304094,C2,3.405757,0,0,0,0,0.0
33.97290769980507,C2,2.958619,0,0,0,0,0.0
34.0728280165692,C2,3.4098,0,0,0,0,0.0
34.17274833333333,C2,3.318272,0,0,0,0,0.0
34.27266865009747,C2,4.594828,0,0,0,0,0.0
34.3725889668616,C2,4.740254,0,0,0,0,0.0
34.47250928362573,C2,3.737568,0,0,0,0,0.0
34.57242960038986,C2,8.383506,0,0,0,0,0.0
34.67234991715399,C2,8.053384,0,0,0,0,0.0
34.77227023391813,C2,10.34621,0,0,0,0,0.0
34.87219055068226,C2,8.477435,0,0,0,0,0.0
34.9721108674464,C2,4.568469,0,0,0,0,0.0
35.07203118421052,C2,5.252804,0,0,0,0,0.0
35.17195150097466,C2,4.536761,0,0,0,0,0.0
35.27187181773879,C2,5.188256,0,0,0,0,0.0
35.37179213450293,C2,6.948993,0,0,0,0,0.0
35.47171245126706,C2,6.06256,0,0,0,0,0.0
35.57163276803119,C2,3.245957,0,0,0,0,0.0
35.67155308479532,C2,4.826081,0,0,0,0,0.0
35.77147340155945,C2,3.669698,0,0,0,0,0.0
35.87139371832359,C2,5.674929,0,0,0,0,0.0
35.97131403508772,C2,4.962193,0,0,0,0,0.0
36.07123435185185,C2,4.708726,0,0,0,0,0.0
36.17115466861598,C2,4.870776,0,0,0,0,0.0
36.27107498538012,C2,4.584474,0,0,0,0,0.0
36.37099530214425,C2,6.816649,0,0,0,0,0.0
36.47091561890838,C2,4.227894,0,0,0,0,0.0
36.57083593567251,C2,4.114153,0,0,0,0,0.0
36.67075625243665,C2,4.306987,0,0,0,0,0.0
36.77067656920078,C2,3.548605,0,0,0,0,0.0
36.87059688596491,C2,3.500006,0,0,0,0,0.0
36.97051720272904,C2,1.622373,0,0,0,1,0.0
37.07043751949318,C2,1.7236,0,0,0,0,1.0
37.17035783625731,C2,1.818066,0,0,0,0,1.0
37.27027815302144,C2,1.164976,0,0,0,0,1.0
37.37019846978558,C2,-0.5105658,0,0,0,0,1.0
37.4701187865497,C2,0.4638815,0,0,0,0,1.0
37.57003910331384,C2,0.460294,0,0,0,0,1.0
37.66995942007797,C2,1.987126,0,0,0,0,1.0
37.76987973684211,C2,2.844001,0,0,0,0,1.0
37.86980005360624,C2,4.49013,0,0,0,0,1.0
37.96972037037037,C2,4.611224,0,0,0,0,1.0
38.0696406871345,C2,5.013062,0,0,0,0,1.0
38.16956100389864,C2,3.861673,0,0,0,0,1.0
38.26948132066277,C2,1.389013,0,0,0,0,1.0
38.3694016374269,C2,1.053082,0,0,0,0,1.0
38.46932195419103,C2,0.11203,0,0,0,0,1.0
38.56924227095516,C2,2.082017,0,0,0,0,1.0
38.6691625877193,C2,2.811626,0,0,0,0,0.0
38.76908290448343,C2,3.561244,0,0,0,0,0.0
38.86900322124756,C2,3.337564,0,0,0,0,0.0
38.96892353801169,C2,4.226253,0,0,0,0,0.0
39.06884385477583,C2,3.559221,0,0,0,0,0.0
39.16876417153996,C2,3.357357,0,0,0,0,0.0
39.2686844883041,C2,4.932389,0,0,0,0,0.0
39.36860480506822,C2,7.087379,0,0,0,0,0.0
