Time,Cell,F,bite,bitepoint,biting,lickpoint
92.32616963,C26,0.2624048,0,0,0,0
92.42608973,C26,0.9012973,0,0,0,0
92.52600982,C26,-0.3991587,0,0,0,0
92.62592992,C26,-2.683248,0,0,0,0
92.72585002,C26,-3.681926,0,0,0,0
92.82577012,C26,-5.272023,0,0,0,0
92.92569021,C26,-1.875132,0,0,0,0
93.02561031,C26,-0.9223969,0,0,0,0
93.12553041,C26,-1.538225,0,0,0,0
93.2254505,C26,-0.1859845,0,0,0,0
93.3253706,C26,1.246555,0,0,0,0
93.4252907,C26,-0.2433825,0,0,0,0
93.52521079,C26,-0.6918603,0,0,0,0
93.62513089,C26,-0.1995131,0,0,0,0
93.72505099,C26,-2.435601,0,0,0,0
93.82497109,C26,-2.080569,0,0,0,0
93.92489118,C26,-2.564525,0,0,0,0
94.02481128,C26,-2.65079,0,0,0,0
94.12473138,C26,-1.088819,0,0,0,0
94.22465147,C26,-1.75992,0,0,0,0
94.32457157,C26,-1.754199,0,0,0,0
94.42449167,C26,-2.550276,0,0,0,0
94.52441176,C26,-0.08864276,0,0,0,0
94.62433186,C26,-1.003049,0,0,0,0
94.72425196,C26,-2.097527,0,0,0,0
94.82417206,C26,-1.261772,0,0,0,0
94.92409215,C26,-2.32269,0,0,0,0
95.02401225,C26,-2.009172,0,0,0,0
95.12393235,C26,-1.322803,0,0,0,0
95.22385244,C26,-0.09000096,0,0,0,0
95.32377254,C26,-0.972192,0,0,0,0
95.42369264,C26,-1.860834,0,0,0,0
95.52361273,C26,-1.049872,0,0,0,0
95.62353283,C26,-1.383662,0,0,0,0
95.72345293,C26,-2.032063,0,0,0,0
95.82337303,C26,-2.744141,0,0,0,0
95.92329312,C26,-3.277857,0,0,0,0
96.02321322,C26,-1.943006,0,0,0,0
96.12313332,C26,0.2757426,0,0,0,0
96.22305341,C26,-0.2918423,0,0,0,0
96.32297351,C26,0.7974045,0,0,0,0
96.42289361,C26,0.2202602,0,0,0,0
96.5228137,C26,-1.923385,0,0,0,0
96.6227338,C26,-1.422338,0,0,0,0
96.7226539,C26,1.485853,0,0,0,0
96.822574,C26,1.290473,0,0,0,0
96.92249409,C26,0.2465382,0,0,0,0
97.02241419,C26,-0.424892,0,0,0,0
97.12233429,C26,-0.3448588,0,0,0,0
97.22225438,C26,1.789018,0,0,0,0
97.32217448,C26,-1.011671,0,0,0,0
97.42209458,C26,-0.7373704,0,0,0,0
97.52201467,C26,-0.1665546,0,0,0,0
97.62193477,C26,1.596295,0,0,0,0
97.72185487,C26,2.548005,0,0,0,0
97.82177497,C26,0.5934779,0,0,0,0
97.92169506,C26,0.6788871,0,0,0,0
98.02161516,C26,-1.56891,0,0,0,0
98.12153526,C26,-3.355248,0,0,0,0
98.22145535,C26,-1.639842,0,0,0,0
98.32137545,C26,2.58672,0,0,0,0
98.42129555,C26,1.53056,0,0,0,0
98.52121564,C26,0.2618387,0,0,0,0
98.62113574,C26,1.250803,0,0,0,0
98.72105584,C26,1.4442,0,0,0,0
98.82097594,C26,2.627134,0,0,0,0
98.92089603,C26,2.843901,0,0,0,0
99.02081613,C26,4.326262,0,0,0,0
99.12073623,C26,1.870221,0,0,0,0
